Date,Open,High,Low,Close,Adj Close,Volume
2017-06-12,125.529999,126.300003,124.730003,126.300003,126.300003,2355800
2017-06-13,126.440002,127.559998,126.080002,127.070000,127.070000,2434100
2017-06-14,127.800003,128.000000,126.699997,127.250000,127.250000,1861200
2017-06-15,126.279999,127.360001,124.500000,127.029999,127.029999,2196300
2017-06-16,127.519997,128.000000,126.529999,127.559998,127.559998,2965400
2017-06-19,128.470001,128.470001,127.389999,127.769997,127.769997,2123000
2017-06-20,127.330002,127.639999,126.379997,126.529999,126.529999,2356400
2017-06-21,127.070000,127.180000,126.029999,127.110001,127.110001,3257900
2017-06-22,122.970001,123.900002,119.099998,122.080002,122.080002,8691100
2017-06-23,122.139999,123.620003,121.720001,122.739998,122.739998,3817800
2017-06-26,123.150002,124.050003,122.279999,122.339996,122.339996,2623000
2017-06-27,122.500000,122.839996,122.000000,122.190002,122.190002,2214800
2017-06-28,122.779999,123.830002,122.190002,123.739998,123.739998,1727500
2017-06-29,123.500000,123.500000,122.610001,122.989998,122.989998,2687300
2017-06-30,123.300003,124.400002,123.150002,123.680000,123.680000,2290300
2017-07-03,123.820000,124.879997,123.790001,123.930000,123.930000,1236200
2017-07-05,124.000000,124.779999,123.989998,124.050003,124.050003,1328600
2017-07-06,123.349998,123.629997,122.029999,122.940002,122.940002,1934500
2017-07-07,123.550003,124.750000,123.070000,124.209999,124.209999,1889418
